flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
11,1,0,0,1078,11,0
11,1,0,0,1078,11,0
11,1,0,0,1078,11,0
11,1,0,0,1078,11,0
11,1,0,0,1078,11,0
11,1,0,0,1078,11,0
41,1,0,0,3920,40,0
41,1,0,0,3920,40,0
41,1,0,0,3920,40,0
41,1,0,0,3920,40,0
41,1,0,0,3920,40,0
41,1,0,0,3920,40,0
71,1,0,0,6762,69,0
71,1,0,0,6762,69,0
71,1,0,0,6762,69,0
71,1,0,0,6762,69,0
71,1,0,0,6762,69,0
71,1,0,0,6762,69,0
101,1,0,0,9702,99,0
101,1,0,0,9702,99,0
101,1,0,0,9702,99,0
101,1,0,0,9702,99,0
101,1,0,0,9702,99,0
101,1,0,0,9702,99,0
131,1,0,0,12544,128,0
131,1,0,0,12544,128,0
131,1,0,0,12544,128,0
131,1,0,0,12544,128,0
131,1,0,0,12544,128,0
131,1,0,0,12544,128,0
4,1,0,0,294,3,0
4,1,0,0,294,3,0
34,1,0,0,3234,33,0
34,1,0,0,3234,33,0
23,1,0,0,2254,23,0
23,1,0,0,2254,23,0
26,17,46287,5001,3510864,2322,0
26,17,46287,5001,3510864,2322,0
26,17,46287,5001,3510864,2322,0
56,17,46287,5001,7560000,5000,0
56,17,46287,5001,7560000,5000,0
56,17,46287,5001,7560000,5000,0
86,17,46287,5001,11609136,7678,0
86,17,46287,5001,11609136,7678,0
86,17,46287,5001,11609136,7678,0
8,6,56746,80,9665026,1201,0
8,6,80,56746,79068,1198,0
8,6,56746,80,9665026,1201,0
8,6,80,56746,79068,1198,0
8,6,56746,80,9665026,1201,0
8,6,80,56746,79068,1198,0
38,6,56746,80,45841936,5612,0
38,6,80,56746,369864,5604,0
38,6,56746,80,45841936,5612,0
38,6,80,56746,369864,5604,0
38,6,56746,80,45841936,5612,0
38,6,80,56746,369864,5604,0
68,6,56746,80,82036156,10022,0
68,6,80,56746,660792,10012,0
68,6,56746,80,82036156,10022,0
68,6,80,56746,660792,10012,0
68,6,56746,80,82036156,10022,0
68,6,80,56746,660792,10012,0
10,6,30300,11448,0,0,1
9,6,30300,11448,0,0,1
9,6,43057,3575,0,0,1
9,6,43057,3575,0,0,1
9,6,2063,37417,0,0,1
9,6,2063,37417,0,0,1
9,6,19835,33847,0,0,1
9,6,19835,33847,0,0,1
9,6,36647,22597,0,0,1
9,6,36647,22597,0,0,1
9,6,26581,44470,0,0,1
9,6,26581,44470,0,0,1
9,6,48176,38411,0,0,1
9,6,48176,38411,0,0,1
8,6,1677,52287,0,0,1
8,6,1677,52287,0,0,1
8,6,33392,53468,0,0,1
8,6,33392,53468,0,0,1
8,6,803,29995,0,0,1
8,6,803,29995,0,0,1
8,6,62976,47620,0,0,1
8,6,62976,47620,0,0,1
8,6,13541,64874,0,0,1
8,6,13541,64874,0,0,1
8,6,14408,32784,0,0,1
8,6,14408,32784,0,0,1
8,6,1006,51014,0,0,1
8,6,1006,51014,0,0,1
7,6,47292,59411,0,0,1
7,6,47292,59411,0,0,1
7,6,36807,21105,0,0,1
7,6,36807,21105,0,0,1
7,6,52733,20823,0,0,1
7,6,52733,20823,0,0,1
7,6,5535,4772,0,0,1
7,6,5535,4772,0,0,1
7,6,28706,19884,0,0,1
7,6,28706,19884,0,0,1
7,6,28571,41429,0,0,1
7,6,28571,41429,0,0,1
6,6,34326,50691,0,0,1
6,6,34326,50691,0,0,1
6,6,50575,57896,0,0,1
6,6,50575,57896,0,0,1
6,6,51394,59536,0,0,1
6,6,51394,59536,0,0,1
6,6,62004,59049,0,0,1
6,6,62004,59049,0,0,1
6,6,31709,7995,0,0,1
6,6,31709,7995,0,0,1
6,6,34003,51395,0,0,1
6,6,34003,51395,0,0,1
6,6,61235,6156,0,0,1
5,6,61235,6156,0,0,1
5,6,31859,11044,0,0,1
5,6,31859,11044,0,0,1
5,6,14772,18451,0,0,1
5,6,14772,18451,0,0,1
5,6,61953,64214,0,0,1
5,6,61953,64214,0,0,1
5,6,55828,4305,0,0,1
5,6,55828,4305,0,0,1
5,6,54307,2369,0,0,1
5,6,54307,2369,0,0,1
5,6,9959,40220,0,0,1
5,6,9959,40220,0,0,1
4,6,48144,48672,0,0,1
4,6,48144,48672,0,0,1
4,6,37188,53878,0,0,1
4,6,37188,53878,0,0,1
4,6,17129,50133,0,0,1
4,6,17129,50133,0,0,1
4,6,34308,12325,0,0,1
4,6,34308,12325,0,0,1
4,6,43287,57890,0,0,1
4,6,43287,57890,0,0,1
4,6,20052,29721,0,0,1
4,6,20052,29721,0,0,1
4,6,56849,55156,0,0,1
3,6,56849,55156,0,0,1
3,6,50492,30104,0,0,1
3,6,50492,30104,0,0,1
3,6,12074,54113,0,0,1
3,6,12074,54113,0,0,1
3,6,14861,10804,0,0,1
3,6,14861,10804,0,0,1
3,6,38654,40180,0,0,1
3,6,38654,40180,0,0,1
3,6,10569,52022,0,0,1
3,6,10569,52022,0,0,1
3,6,1135,61324,0,0,1
3,6,1135,61324,0,0,1
2,6,44468,21572,0,0,1
2,6,44468,21572,0,0,1
2,6,50119,25818,0,0,1
2,6,50119,25818,0,0,1
2,6,33140,21181,0,0,1
2,6,33140,21181,0,0,1
2,6,41997,10992,0,0,1
2,6,41997,10992,0,0,1
